SampleID,SampleID_metadata_R,lot,Treat,Timeoint,bulk_rhizo_t,bulk_rhizo,soil_moisture_erc,Soil_H,WDRF_Buffer_H,S_Salts_mmho_cm,Organic_Matter_LOI,Nitrate_N_m_N,lbs_N_A,Olsen__m_,otassium_m_K,Sulfate_S_m_S,Zinc_m_Zn,Iron_m_Fe,Manganese_m_Mn,Coer_m_Cu,Calcium_m_Ca,Magnesium_m_Mg,Sodium_m_Na,CEC_Sum_of_Cations_me_100g,K_Sat,Ca_Sat,Mg_Sat,Na_Sat
14C1RT1,p14C1RT1,1_4,Control,T1,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14C1RT2,p14C1RT2,1_4,Control,T2,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14C1RT3,p14C1RT3,1_4,Control,T3,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14C2RT1,p14C2RT1,1_4,Control,T1,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14C2RT2,p14C2RT2,1_4,Control,T2,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14C2RT3,p14C2RT3,1_4,Control,T3,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14T1RT1,p14T1RT1,1_4,Treatment,T1,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14T1RT2,p14T1RT2,1_4,Treatment,T2,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14T1RT3,p14T1RT3,1_4,Treatment,T3,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14T2RT1,p14T2RT1,1_4,Treatment,T1,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14T2RT2,p14T2RT2,1_4,Treatment,T2,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14T2RT3,p14T2RT3,1_4,Treatment,T3,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55C1RT1,p55C1RT1,5_5,Control,T1,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55C1RT2,p55C1RT2,5_5,Control,T2,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55C1RT3,p55C1RT3,5_5,Control,T3,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55C2RT1,p55C2RT1,5_5,Control,T1,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55C2RT2,p55C2RT2,5_5,Control,T2,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55C2RT3,p55C2RT3,5_5,Control,T3,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55T1RT1,p55T1RT1,5_5,Treatment,T1,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55T1RT2,p55T1RT2,5_5,Treatment,T2,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55T1RT3,p55T1RT3,5_5,Treatment,T3,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55T2RT1,p55T2RT1,5_5,Treatment,T1,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55T2RT2,p55T2RT2,5_5,Treatment,T2,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55T2RT3,p55T2RT3,5_5,Treatment,T3,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78C1RT1,p78C1RT1,7_8,Control,T1,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78C1RT2,p78C1RT2,7_8,Control,T2,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78C1RT3,p78C1RT3,7_8,Control,T3,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78C2RT1,p78C2RT1,7_8,Control,T1,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78C2RT2,p78C2RT2,7_8,Control,T2,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78C2RT3,p78C2RT3,7_8,Control,T3,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78T1RT1,p78T1RT1,7_8,Treatment,T1,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78T1RT2,p78T1RT2,7_8,Treatment,T2,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78T1RT3,p78T1RT3,7_8,Treatment,T3,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78T2RT1,p78T2RT1,7_8,Treatment,T1,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78T2RT2,p78T2RT2,7_8,Treatment,T2,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78T2RT3,p78T2RT3,7_8,Treatment,T3,rhizo,rhizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA